% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
3.721	5	1	373	2	1	28	9422	0	0	0
3.761	5	1	377	2	1	28	9422	0	0	0
3.771	5	1	378	2	1	28	9422	0	0	0
3.811	5	1	382	2	1	28	9422	0	0	0
3.821	5	1	383	2	1	28	9422	0	0	0
3.861	5	1	387	2	1	28	9422	0	0	0
3.871	5	1	388	2	1	28	9422	0	0	0
3.911	5	1	392	2	1	28	9422	0	0	0
3.921	5	1	393	2	1	28	9422	0	0	0
3.961	5	1	397	2	1	28	9422	0	0	0
3.971	5	1	398	2	1	28	9422	0	0	0
4.011	5	1	402	2	1	28	9422	0	0	0
4.021	5	1	403	2	1	28	9422	0	0	0
4.061	5	1	407	2	1	28	9422	0	0	0
4.071	5	1	408	2	1	28	9422	0	0	0
4.111	5	1	412	2	1	28	9422	0	0	0
4.121	5	1	413	2	1	28	9422	0	0	0
4.161	5	1	417	2	1	28	9422	0	0	0
4.171	5	1	418	2	1	28	9422	0	0	0
4.211	5	1	422	2	1	28	9422	0	0	0
4.221	5	1	423	2	1	28	9422	0	0	0
4.261	5	1	427	2	1	28	9422	0	0	0
4.271	5	1	428	2	1	28	9422	0	0	0
4.311	5	1	432	2	1	28	9422	0	0	0
4.321	5	1	433	2	1	28	9422	0	0	0
4.361	5	1	437	2	1	28	9422	0	0	0
4.371	5	1	438	2	1	28	9422	0	0	0
4.411	5	1	442	2	1	28	9422	0	0	0
4.421	5	1	443	2	1	28	9422	0	0	0
4.461	5	1	447	2	1	28	9422	0	0	0
4.471	5	1	448	2	1	28	9422	0	0	0
4.511	5	1	452	2	1	28	9422	0	0	0
4.521	5	1	453	2	1	28	9422	0	0	0
4.561	5	1	457	2	1	28	9422	0	0	0
4.571	5	1	458	2	1	28	9422	0	0	0
4.611	5	1	462	2	1	28	9422	0	0	0
4.621	5	1	463	2	1	28	9422	0	0	0
4.661	5	1	467	2	1	28	9422	0	0	0
4.671	5	1	468	2	1	28	9422	0	0	0
4.711	5	1	472	2	1	28	9422	0	0	0
4.721	5	1	473	2	1	28	9422	0	0	0
4.761	5	1	477	2	1	28	9422	0	0	0
4.771	5	1	478	2	1	28	9422	0	0	0
4.811	5	1	482	2	1	28	9422	0	0	0
4.821	5	1	483	2	1	28	9422	0	0	0
4.861	5	1	487	2	1	28	9422	0	0	0
4.871	5	1	488	2	1	28	9422	0	0	0
4.911	5	1	492	2	1	28	9422	0	0	0
4.921	5	1	493	2	1	28	9422	0	0	0
4.961	5	1	497	2	1	28	9422	0	0	0
4.971	5	1	498	2	1	28	9422	0	0	0
5.011	5	1	502	2	1	28	9422	0	0	0
5.021	5	1	503	2	1	28	9422	0	0	0
5.061	5	1	507	2	1	28	9422	0	0	0
5.071	5	1	508	2	1	28	9422	0	0	0
5.111	5	1	512	2	1	28	9422	0	0	0
5.121	5	1	513	2	1	28	9422	0	0	0
5.161	5	1	517	2	1	28	9422	0	0	0
5.171	5	1	518	2	1	28	9422	0	0	0
5.211	5	1	522	2	1	28	9422	0	0	0
5.221	5	1	523	2	1	28	9422	0	0	0
5.261	5	1	527	2	1	28	9422	0	0	0
5.271	5	1	528	2	1	28	9422	0	0	0
5.311	5	1	532	2	1	28	9422	0	0	0
5.321	5	1	533	2	1	28	9422	0	0	0
5.361	5	1	537	2	1	28	9422	0	0	0
5.371	5	1	538	2	1	28	9422	0	0	0
5.411	5	1	542	2	1	28	9422	0	0	0
5.421	5	1	543	2	1	28	9422	0	0	0
5.461	5	1	547	2	1	28	9422	0	0	0
5.471	5	1	548	2	1	28	9422	0	0	0
5.511	5	1	552	2	1	28	9422	0	0	0
5.521	5	1	553	2	1	28	9422	0	0	0
5.561	5	1	557	2	1	28	9422	0	0	0
5.571	5	1	558	2	1	28	9422	0	0	0
5.611	5	1	562	2	1	28	9422	0	0	0
5.621	5	1	563	2	1	28	9422	0	0	0
5.661	5	1	567	2	1	28	9422	0	0	0
5.671	5	1	568	2	1	28	9422	0	0	0
5.711	5	1	572	2	1	28	9422	0	0	0
5.721	5	1	573	2	1	28	9422	0	0	0
5.761	5	1	577	2	1	28	9422	0	0	0
5.771	5	1	578	2	1	28	9422	0	0	0
5.811	5	1	582	2	1	28	9422	0	0	0
5.821	5	1	583	2	1	28	9422	0	0	0
5.861	5	1	587	2	1	28	9422	0	0	0
5.871	5	1	588	2	1	28	9422	0	0	0
5.911	5	1	592	2	1	28	9422	0	0	0
5.921	5	1	593	2	1	28	9422	0	0	0
5.961	5	1	597	2	1	28	9422	0	0	0
5.971	5	1	598	2	1	28	9422	0	0	0
6.011	5	1	602	2	1	28	9422	0	0	0
6.021	5	1	603	2	1	28	9422	0	0	0
6.061	5	1	607	2	1	28	9422	0	0	0
6.071	5	1	608	2	1	28	9422	0	0	0
6.111	5	1	612	2	1	28	9422	0	0	0
6.121	5	1	613	2	1	28	9422	0	0	0
6.161	5	1	617	2	1	28	9422	0	0	0
6.171	5	1	618	2	1	28	9422	0	0	0
6.211	5	1	622	2	1	28	9422	0	0	0
6.221	5	1	623	2	1	28	9422	0	0	0
6.261	5	1	627	2	1	28	9422	0	0	0
6.271	5	1	628	2	1	28	9422	0	0	0
6.311	5	1	632	2	1	28	9422	0	0	0
6.321	5	1	633	2	1	28	9422	0	0	0
6.361	5	1	637	2	1	28	9422	0	0	0
6.371	5	1	638	2	1	28	9422	0	0	0
6.411	5	1	642	2	1	28	9422	0	0	0
6.421	5	1	643	2	1	28	9422	0	0	0
6.461	5	1	647	2	1	28	9422	0	0	0
6.471	5	1	648	2	1	28	9422	0	0	0
6.511	5	1	652	2	1	28	9422	0	0	0
6.521	5	1	653	2	1	28	9422	0	0	0
6.561	5	1	657	2	1	28	9422	0	0	0
6.571	5	1	658	2	1	28	9422	0	0	0
6.611	5	1	662	2	1	28	9422	0	0	0
6.621	5	1	663	2	1	28	9422	0	0	0
6.661	5	1	667	2	1	28	9422	0	0	0
6.671	5	1	668	2	1	28	9422	0	0	0
6.711	5	1	672	2	1	28	9422	0	0	0
6.721	5	1	673	2	1	28	9422	0	0	0
6.761	5	1	677	2	1	28	9422	0	0	0
6.771	5	1	678	2	1	28	9422	0	0	0
6.811	5	1	682	2	1	28	9422	0	0	0
6.821	5	1	683	2	1	28	9422	0	0	0
6.861	5	1	687	2	1	28	9422	0	0	0
6.871	5	1	688	2	1	28	9422	0	0	0
6.911	5	1	692	2	1	28	9422	0	0	0
6.921	5	1	693	2	1	28	9422	0	0	0
6.961	5	1	697	2	1	28	9422	0	0	0
6.971	5	1	698	2	1	28	9422	0	0	0
7.011	5	1	702	2	1	28	9422	0	0	0
7.021	5	1	703	2	1	28	9422	0	0	0
7.061	5	1	707	2	1	28	9422	0	0	0
7.071	5	1	708	2	1	28	9422	0	0	0
7.111	5	1	712	2	1	28	9422	0	0	0
7.121	5	1	713	2	1	28	9422	0	0	0
7.161	5	1	717	2	1	28	9422	0	0	0
7.171	5	1	718	2	1	28	9422	0	0	0
7.211	5	1	722	2	1	28	9422	0	0	0
7.221	5	1	723	2	1	28	9422	0	0	0
7.261	5	1	727	2	1	28	9422	0	0	0
7.271	5	1	728	2	1	28	9422	0	0	0
7.311	5	1	732	2	1	28	9422	0	0	0
7.321	5	1	733	2	1	28	9422	0	0	0
7.361	5	1	737	2	1	28	9422	0	0	0
7.371	5	1	738	2	1	28	9422	0	0	0
7.411	5	1	742	2	1	28	9422	0	0	0
7.421	5	1	743	2	1	28	9422	0	0	0
7.461	5	1	747	2	1	28	9422	0	0	0
7.471	5	1	748	2	1	28	9422	0	0	0
7.511	5	1	752	2	1	28	9422	0	0	0
7.521	5	1	753	2	1	28	9422	0	0	0
7.561	5	1	757	2	1	28	9422	0	0	0
7.571	5	1	758	2	1	28	9422	0	0	0
7.611	5	1	762	2	1	28	9422	0	0	0
7.621	5	1	763	2	1	28	9422	0	0	0
7.661	5	1	767	2	1	28	9422	0	0	0
7.671	5	1	768	2	1	28	9422	0	0	0
7.711	5	1	772	2	1	28	9422	0	0	0
7.721	5	1	773	2	1	28	9422	0	0	0
7.761	5	1	777	2	1	28	9422	0	0	0
7.771	5	1	778	2	1	28	9422	0	0	0
7.811	5	1	782	2	1	28	9422	0	0	0
7.821	5	1	783	2	1	28	9422	0	0	0
7.861	5	1	787	2	1	28	9422	0	0	0
7.871	5	1	788	2	1	28	9422	0	0	0
7.911	5	1	792	2	1	28	9422	0	0	0
7.921	5	1	793	2	1	28	9422	0	0	0
7.961	5	1	797	2	1	28	9422	0	0	0
7.971	5	1	798	2	1	28	9422	0	0	0
8.011	5	1	802	2	1	28	9422	0	0	0
8.021	5	1	803	2	1	28	9422	0	0	0
8.061	5	1	807	2	1	28	9422	0	0	0
8.071	5	1	808	2	1	28	9422	0	0	0
8.111	5	1	812	2	1	28	9422	0	0	0
8.121	5	1	813	2	1	28	9422	0	0	0
8.161	5	1	817	2	1	28	9422	0	0	0
8.171	5	1	818	2	1	28	9422	0	0	0
8.211	5	1	822	2	1	28	9422	0	0	0
8.221	5	1	823	2	1	28	9422	0	0	0
8.261	5	1	827	2	1	28	9422	0	0	0
8.271	5	1	828	2	1	28	9422	0	0	0
8.311	5	1	832	2	1	28	9422	0	0	0
8.321	5	1	833	2	1	28	9422	0	0	0
8.361	5	1	837	2	1	28	9422	0	0	0
8.371	5	1	838	2	1	28	9422	0	0	0
8.411	5	1	842	2	1	28	9422	0	0	0
8.421	5	1	843	2	1	28	9422	0	0	0
8.461	5	1	847	2	1	28	9422	0	0	0
8.471	5	1	848	2	1	28	9422	0	0	0
8.511	5	1	852	2	1	28	9422	0	0	0
8.521	5	1	853	2	1	28	9422	0	0	0
8.561	5	1	857	2	1	28	9422	0	0	0
8.571	5	1	858	2	1	28	9422	0	0	0
8.611	5	1	862	2	1	28	9422	0	0	0
8.621	5	1	863	2	1	28	9422	0	0	0
8.661	5	1	867	2	1	28	9422	0	0	0
8.671	5	1	868	2	1	28	9422	0	0	0
8.711	5	1	872	2	1	28	9422	0	0	0
8.721	5	1	873	2	1	28	9422	0	0	0
8.761	5	1	877	2	1	28	9422	0	0	0
8.771	5	1	878	2	1	28	9422	0	0	0
8.811	5	1	882	2	1	28	9422	0	0	0
8.821	5	1	883	2	1	28	9422	0	0	0
8.861	5	1	887	2	1	28	9422	0	0	0
8.871	5	1	888	2	1	28	9422	0	0	0
8.911	5	1	892	2	1	28	9422	0	0	0
8.921	5	1	893	2	1	28	9422	0	0	0
8.961	5	1	897	2	1	28	9422	0	0	0
8.971	5	1	898	2	1	28	9422	0	0	0
9.011	5	1	902	2	1	28	9422	0	0	0
9.021	5	1	903	2	1	28	9422	0	0	0
9.061	5	1	907	2	1	28	9422	0	0	0
9.071	5	1	908	2	1	28	9422	0	0	0
9.111	5	1	912	2	1	28	9422	0	0	0
9.121	5	1	913	2	1	28	9422	0	0	0
9.161	5	1	917	2	1	28	9422	0	0	0
9.171	5	1	918	2	1	28	9422	0	0	0
9.211	5	1	922	2	1	28	9422	0	0	0
9.221	5	1	923	2	1	28	9422	0	0	0
9.261	5	1	927	2	1	28	9422	0	0	0
9.271	5	1	928	2	1	28	9422	0	0	0
9.311	5	1	932	2	1	28	9422	0	0	0
9.321	5	1	933	2	1	28	9422	0	0	0
9.361	5	1	937	2	1	28	9422	0	0	0
9.371	5	1	938	2	1	28	9422	0	0	0
9.411	5	1	942	2	1	28	9422	0	0	0
9.421	5	1	943	2	1	28	9422	0	0	0
9.461	5	1	947	2	1	28	9422	0	0	0
9.471	5	1	948	2	1	28	9422	0	0	0
9.511	5	1	952	2	1	28	9422	0	0	0
9.521	5	1	953	2	1	28	9422	0	0	0
9.561	5	1	957	2	1	28	9422	0	0	0
9.571	5	1	958	2	1	28	9422	0	0	0
9.611	5	1	962	2	1	28	9422	0	0	0
9.621	5	1	963	2	1	28	9422	0	0	0
9.661	5	1	967	2	1	28	9422	0	0	0
9.671	5	1	968	2	1	28	9422	0	0	0
9.711	5	1	972	2	1	28	9422	0	0	0
9.721	5	1	973	2	1	28	9422	0	0	0
9.761	5	1	977	2	1	28	9422	0	0	0
9.771	5	1	978	2	1	28	9422	0	0	0
9.811	5	1	982	2	1	28	9422	0	0	0
9.821	5	1	983	2	1	28	9422	0	0	0
9.861	5	1	987	2	1	28	9422	0	0	0
9.871	5	1	988	2	1	28	9422	0	0	0
9.911	5	1	992	2	1	28	9422	0	0	0
9.921	5	1	993	2	1	26	7708	0	0	0
9.961	5	1	997	2	1	28	9422	0	0	0
9.971	5	1	998	2	1	28	9422	0	0	0
10.011	5	1	1002	2	1	28	9422	0	0	0
10.021	5	1	1003	2	1	28	9422	0	0	0
10.061	5	1	1007	2	1	28	9422	0	0	0
10.071	5	1	1008	2	1	28	9422	0	0	0
10.111	5	1	1012	2	1	28	9422	0	0	0
10.121	5	1	1013	2	1	28	9422	0	0	0
10.161	5	1	1017	2	1	28	9422	0	0	0
10.171	5	1	1018	2	1	28	9422	0	0	0
10.211	5	1	1022	2	1	28	9422	0	0	0
10.221	5	1	1023	2	1	28	9422	0	0	0
10.261	5	1	1027	2	1	28	9422	0	0	0
10.271	5	1	1028	2	1	28	9422	0	0	0
10.311	5	1	1032	2	1	28	9422	0	0	0
10.321	5	1	1033	2	1	28	9422	0	0	0
10.361	5	1	1037	2	1	28	9422	0	0	0
10.371	5	1	1038	2	1	28	9422	0	0	0
10.411	5	1	1042	2	1	28	9422	0	0	0
10.421	5	1	1043	2	1	28	9422	0	0	0
10.461	5	1	1047	2	1	28	9422	0	0	0
10.471	5	1	1048	2	1	28	9422	0	0	0
10.511	5	1	1052	2	1	28	9422	0	0	0
10.521	5	1	1053	2	1	28	9422	0	0	0
10.561	5	1	1057	2	1	28	9422	0	0	0
10.571	5	1	1058	2	1	28	9422	0	0	0
10.611	5	1	1062	2	1	28	9422	0	0	0
10.621	5	1	1063	2	1	28	9422	0	0	0
10.661	5	1	1067	2	1	28	9422	0	0	0
10.671	5	1	1068	2	1	24	6882	0	0	0
10.711	5	1	1072	2	1	28	9422	0	0	0
10.721	5	1	1073	2	1	28	9422	0	0	0
10.761	5	1	1077	2	1	28	9422	0	0	0
10.771	5	1	1078	2	1	28	9422	0	0	0
10.811	5	1	1082	2	1	28	9422	0	0	0
10.821	5	1	1083	2	1	28	9422	0	0	0
10.861	5	1	1087	2	1	28	9422	0	0	0
10.871	5	1	1088	2	1	28	9422	0	0	0
10.911	5	1	1092	2	1	28	9422	0	0	0
10.921	5	1	1093	2	1	28	9422	0	0	0
10.961	5	1	1097	2	1	28	9422	0	0	0
10.971	5	1	1098	2	1	28	9422	0	0	0
11.011	5	1	1102	2	1	28	9422	0	0	0
11.021	5	1	1103	2	1	28	9422	0	0	0
11.061	5	1	1107	2	1	28	9422	0	0	0
11.071	5	1	1108	2	1	28	9422	0	0	0
11.111	5	1	1112	2	1	28	9422	0	0	0
11.121	5	1	1113	2	1	28	9422	0	0	0
11.161	5	1	1117	2	1	28	9422	0	0	0
11.171	5	1	1118	2	1	28	9422	0	0	0
11.211	5	1	1122	2	1	28	9422	0	0	0
11.221	5	1	1123	2	1	28	9422	0	0	0
11.261	5	1	1127	2	1	28	9422	0	0	0
11.271	5	1	1128	2	1	28	9422	0	0	0
11.311	5	1	1132	2	1	28	9422	0	0	0
11.321	5	1	1133	2	1	28	9422	0	0	0
11.361	5	1	1137	2	1	28	9422	0	0	0
11.371	5	1	1138	2	1	28	9422	0	0	0
11.411	5	1	1142	2	1	28	9422	0	0	0
11.421	5	1	1143	2	1	28	9422	0	0	0
11.461	5	1	1147	2	1	28	9422	0	0	0
11.471	5	1	1148	2	1	28	9422	0	0	0
11.511	5	1	1152	2	1	28	9422	0	0	0
11.521	5	1	1153	2	1	28	9422	0	0	0
11.561	5	1	1157	2	1	28	9422	0	0	0
11.571	5	1	1158	2	1	28	9422	0	0	0
11.611	5	1	1162	2	1	28	9422	0	0	0
11.621	5	1	1163	2	1	28	9422	0	0	0
11.661	5	1	1167	2	1	28	9422	0	0	0
11.671	5	1	1168	2	1	28	9422	0	0	0
11.711	5	1	1172	2	1	28	9422	0	0	0
11.721	5	1	1173	2	1	28	9422	0	0	0
11.761	5	1	1177	2	1	28	9422	0	0	0
11.771	5	1	1178	2	1	28	9422	0	0	0
11.811	5	1	1182	2	1	28	9422	0	0	0
11.821	5	1	1183	2	1	28	9422	0	0	0
11.861	5	1	1187	2	1	28	9422	0	0	0
11.871	5	1	1188	2	1	28	9422	0	0	0
11.911	5	1	1192	2	1	28	9422	0	0	0
11.921	5	1	1193	2	1	28	9422	0	0	0
11.961	5	1	1197	2	1	28	9422	0	0	0
11.971	5	1	1198	2	1	28	9422	0	0	0
12.011	5	1	1202	2	1	28	9422	0	0	0
12.018	5	1	1202	9	1	28	9422	0	0	0
12.021	5	1	1203	2	1	28	9422	0	0	0
12.061	5	1	1207	2	1	28	9422	0	0	0
12.071	5	1	1208	2	1	28	9422	0	0	0
12.111	5	1	1212	2	1	28	9422	0	0	0
12.121	5	1	1213	2	1	28	9422	0	0	0
12.161	5	1	1217	2	1	26	7708	0	0	0
12.171	5	1	1218	2	1	28	9422	0	0	0
12.211	5	1	1222	2	1	28	9422	0	0	0
12.221	5	1	1223	2	1	28	9422	0	0	0
12.261	5	1	1227	2	1	28	9422	0	0	0
12.271	5	1	1228	2	1	28	9422	0	0	0
12.311	5	1	1232	2	1	28	9422	0	0	0
12.321	5	1	1233	2	1	28	9422	0	0	0
12.361	5	1	1237	2	1	28	9422	0	0	0
12.371	5	1	1238	2	1	28	9422	0	0	0
12.411	5	1	1242	2	1	28	9422	0	0	0
12.421	5	1	1243	2	1	26	7708	0	0	0
12.461	5	1	1247	2	1	28	9422	0	0	0
12.471	5	1	1248	2	1	28	9422	0	0	0
12.478	5	1	1248	9	1	28	9422	0	0	0
12.511	5	1	1252	2	1	28	9422	0	0	0
12.521	5	1	1253	2	1	28	9422	0	0	0
12.561	5	1	1257	2	1	28	9422	0	0	0
12.571	5	1	1258	2	1	28	9422	0	0	0
12.611	5	1	1262	2	1	26	7708	0	0	0
12.621	5	1	1263	2	1	28	9422	0	0	0
12.661	5	1	1267	2	1	28	9422	0	0	0
12.671	5	1	1268	2	1	28	9422	0	0	0
12.711	5	1	1272	2	1	28	9422	0	0	0
12.721	5	1	1273	2	1	28	9422	0	0	0
12.761	5	1	1277	2	1	26	7708	0	0	0
12.771	5	1	1278	2	1	28	9422	0	0	0
12.811	5	1	1282	2	1	28	9422	0	0	0
12.821	5	1	1283	2	1	28	9422	0	0	0
12.861	5	1	1287	2	1	28	9422	0	0	0
12.871	5	1	1288	2	1	28	9422	0	0	0
12.911	5	1	1292	2	1	28	9422	0	0	0
