0.2,   1,   1,   34
0.2,   1,   2,   4
0.2,   1,   3,   20
0.2,   1,   4,   47
0.2,   1,   5,   55
0.2,   1,   6,   20
0.2,   1,   7,   27
0.2,   1,   8,   12
0.2,   1,   9,   0
0.2,   1,   10,   18
0.2,   1,   11,   25
0.2,   1,   12,   0
0.2,   1,   13,   39
0.2,   1,   14,   0
0.2,   1,   15,   28
0.4,   1,   1,   34
0.4,   1,   2,   5
0.4,   1,   3,   20
0.4,   1,   4,   48
0.4,   1,   5,   56
0.4,   1,   6,   20
0.4,   1,   7,   27
0.4,   1,   8,   12
0.4,   1,   9,   0
0.4,   1,   10,   19
0.4,   1,   11,   26
0.4,   1,   12,   0
0.4,   1,   13,   39
0.4,   1,   14,   0
0.4,   1,   15,   28
0.6,   1,   1,   35
0.6,   1,   2,   5
0.6,   1,   3,   20
0.6,   1,   4,   48
0.6,   1,   5,   56
0.6,   1,   6,   20
0.6,   1,   7,   27
0.6,   1,   8,   12
0.6,   1,   9,   0
0.6,   1,   10,   19
0.6,   1,   11,   26
0.6,   1,   12,   0
0.6,   1,   13,   40
0.6,   1,   14,   0
0.6,   1,   15,   27
0.8,   1,   1,   35
0.8,   1,   2,   5
0.8,   1,   3,   20
0.8,   1,   4,   48
0.8,   1,   5,   56
0.8,   1,   6,   20
0.8,   1,   7,   27
0.8,   1,   8,   12
0.8,   1,   9,   0
0.8,   1,   10,   19
0.8,   1,   11,   26
0.8,   1,   12,   0
0.8,   1,   13,   40
0.8,   1,   14,   0
0.8,   1,   15,   28
1,   1,   1,   35
1,   1,   2,   5
1,   1,   3,   20
1,   1,   4,   48
1,   1,   5,   56
1,   1,   6,   20
1,   1,   7,   27
1,   1,   8,   12
1,   1,   9,   0
1,   1,   10,   19
1,   1,   11,   27
1,   1,   12,   0
1,   1,   13,   40
1,   1,   14,   0
1,   1,   15,   28
1.2,   1,   1,   35
1.2,   1,   2,   5
1.2,   1,   3,   21
1.2,   1,   4,   48
1.2,   1,   5,   56
1.2,   1,   6,   20
1.2,   1,   7,   28
1.2,   1,   8,   12
1.2,   1,   9,   0
1.2,   1,   10,   19
1.2,   1,   11,   27
1.2,   1,   12,   0
1.2,   1,   13,   40
1.2,   1,   14,   0
1.2,   1,   15,   28
1.4,   1,   1,   35
1.4,   1,   2,   6
1.4,   1,   3,   20
1.4,   1,   4,   48
1.4,   1,   5,   56
1.4,   1,   6,   20
1.4,   1,   7,   28
1.4,   1,   8,   12
1.4,   1,   9,   0
1.4,   1,   10,   20
1.4,   1,   11,   26
1.4,   1,   12,   0
1.4,   1,   13,   40
1.4,   1,   14,   0
1.4,   1,   15,   28
1.6,   1,   1,   35
1.6,   1,   2,   5
1.6,   1,   3,   20
1.6,   1,   4,   48
1.6,   1,   5,   56
1.6,   1,   6,   20
1.6,   1,   7,   28
1.6,   1,   8,   12
1.6,   1,   9,   0
1.6,   1,   10,   20
1.6,   1,   11,   26
1.6,   1,   12,   0
1.6,   1,   13,   40
1.6,   1,   14,   0
1.6,   1,   15,   28
1.8,   1,   1,   35
1.8,   1,   2,   5
1.8,   1,   3,   20
1.8,   1,   4,   47
1.8,   1,   5,   55
1.8,   1,   6,   19
1.8,   1,   7,   27
1.8,   1,   8,   12
1.8,   1,   9,   0
1.8,   1,   10,   19
1.8,   1,   11,   27
1.8,   1,   12,   0
1.8,   1,   13,   40
1.8,   1,   14,   0
1.8,   1,   15,   27
2,   1,   1,   35
2,   1,   2,   5
2,   1,   3,   20
2,   1,   4,   47
2,   1,   5,   55
2,   1,   6,   19
2,   1,   7,   28
2,   1,   8,   12
2,   1,   9,   0
2,   1,   10,   19
2,   1,   11,   27
2,   1,   12,   0
2,   1,   13,   40
2,   1,   14,   0
2,   1,   15,   27
2.2,   1,   1,   35
2.2,   1,   2,   5
2.2,   1,   3,   20
2.2,   1,   4,   47
2.2,   1,   5,   55
2.2,   1,   6,   19
2.2,   1,   7,   27
2.2,   1,   8,   13
2.2,   1,   9,   0
2.2,   1,   10,   19
2.2,   1,   11,   27
2.2,   1,   12,   0
2.2,   1,   13,   40
2.2,   1,   14,   0
2.2,   1,   15,   27
2.4,   1,   1,   34
2.4,   1,   2,   5
2.4,   1,   3,   20
2.4,   1,   4,   47
2.4,   1,   5,   55
2.4,   1,   6,   18
2.4,   1,   7,   27
2.4,   1,   8,   13
2.4,   1,   9,   0
2.4,   1,   10,   19
2.4,   1,   11,   26
2.4,   1,   12,   0
2.4,   1,   13,   40
2.4,   1,   14,   0
2.4,   1,   15,   27
2.6,   1,   1,   34
2.6,   1,   2,   5
2.6,   1,   3,   20
2.6,   1,   4,   46
2.6,   1,   5,   55
2.6,   1,   6,   18
2.6,   1,   7,   27
2.6,   1,   8,   13
2.6,   1,   9,   0
2.6,   1,   10,   19
2.6,   1,   11,   27
2.6,   1,   12,   0
2.6,   1,   13,   40
2.6,   1,   14,   0
2.6,   1,   15,   27
2.8,   1,   1,   34
2.8,   1,   2,   5
2.8,   1,   3,   20
2.8,   1,   4,   46
2.8,   1,   5,   55
2.8,   1,   6,   18
2.8,   1,   7,   27
2.8,   1,   8,   13
2.8,   1,   9,   0
2.8,   1,   10,   19
2.8,   1,   11,   27
2.8,   1,   12,   0
2.8,   1,   13,   40
2.8,   1,   14,   0
2.8,   1,   15,   27
3,   1,   1,   34
3,   1,   2,   5
3,   1,   3,   20
3,   1,   4,   46
3,   1,   5,   55
3,   1,   6,   17
3,   1,   7,   27
3,   1,   8,   13
3,   1,   9,   0
3,   1,   10,   19
3,   1,   11,   27
3,   1,   12,   0
3,   1,   13,   39
3,   1,   14,   0
