% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
4573	5	1	1	0	28	9422	0	1	0
4613	5	1	1	0	28	9422	0	1	0
4623	5	1	1	0	28	9422	0	1	0
4663	5	1	1	0	28	9422	0	1	0
4673	5	1	1	0	28	9422	0	1	0
4713	5	1	1	0	28	9422	0	1	0
4723	5	1	1	0	28	9422	0	1	0
4763	5	1	1	0	28	9422	0	1	0
4773	5	1	1	0	28	9422	0	1	0
4813	5	1	1	0	28	9422	0	1	0
4823	5	1	1	0	28	9422	0	1	0
4863	5	1	1	0	28	9422	0	1	0
4873	5	1	1	0	28	9422	0	1	0
4913	5	1	1	0	28	9422	0	1	0
4923	5	1	1	0	28	9422	0	1	0
4963	5	1	1	0	28	9422	0	1	0
4973	5	1	1	0	28	9422	0	1	0
5013	5	1	1	0	28	9422	0	1	0
5023	5	1	1	0	28	9422	0	1	0
5063	5	1	1	0	28	9422	0	1	0
5073	5	1	1	0	28	9422	0	1	0
5113	5	1	1	0	28	9422	0	1	0
5123	5	1	1	0	28	9422	0	1	0
5163	5	1	1	0	28	9422	0	1	0
5173	5	1	1	0	28	9422	0	1	0
5213	5	1	1	0	28	9422	0	1	0
5223	5	1	1	0	28	9422	0	1	0
5263	5	1	1	0	28	9422	0	1	0
5273	5	1	1	0	28	9422	0	1	0
5313	5	1	1	0	28	9422	0	1	0
5323	5	1	1	0	28	9422	0	1	0
5363	5	1	1	0	28	9422	0	1	0
5373	5	1	1	0	28	9422	0	1	0
5413	5	1	1	0	28	9422	0	1	0
5423	5	1	1	0	28	9422	0	1	0
5463	5	1	1	0	28	9422	0	1	0
5473	5	1	1	0	28	9422	0	1	0
5513	5	1	1	0	28	9422	0	1	0
5523	5	1	1	0	28	9422	0	1	0
5563	5	1	1	0	28	9422	0	1	0
5573	5	1	1	0	28	9422	0	1	0
5613	5	1	1	0	28	9422	0	1	0
5623	5	1	1	0	28	9422	0	1	0
5663	5	1	1	0	28	9422	0	1	0
5673	5	1	1	0	28	9422	0	1	0
5713	5	1	1	0	28	9422	0	1	0
5723	5	1	1	0	28	9422	0	1	0
5763	5	1	1	0	28	9422	0	1	0
5773	5	1	1	0	28	9422	0	1	0
5813	5	1	1	0	28	9422	0	1	0
5823	5	1	1	0	28	9422	0	1	0
5863	5	1	1	0	28	9422	0	1	0
5873	5	1	1	0	28	9422	0	1	0
5913	5	1	1	0	28	9422	0	1	0
5923	5	1	1	0	28	9422	0	1	0
5963	5	1	1	0	28	9422	0	1	0
5973	5	1	1	0	28	9422	0	1	0
6013	5	1	1	0	28	9422	0	1	0
6023	5	1	1	0	28	9422	0	1	0
6063	5	1	1	0	28	9422	0	1	0
6073	5	1	1	0	28	9422	0	1	0
6113	5	1	1	0	28	9422	0	1	0
6123	5	1	1	0	28	9422	0	1	0
6163	5	1	1	0	28	9422	0	1	0
6173	5	1	1	0	28	9422	0	1	0
6213	5	1	1	0	28	9422	0	1	0
6223	5	1	1	0	28	9422	0	1	0
6263	5	1	1	0	28	9422	0	1	0
6273	5	1	1	0	28	9422	0	1	0
6313	5	1	1	0	28	9422	0	1	0
6323	5	1	1	0	28	9422	0	1	0
6363	5	1	1	0	28	9422	0	1	0
6373	5	1	1	0	28	9422	0	1	0
6413	5	1	1	0	28	9422	0	1	0
6423	5	1	1	0	28	9422	0	1	0
6463	5	1	1	0	28	9422	0	1	0
6473	5	1	1	0	28	9422	0	1	0
6513	5	1	1	0	28	9422	0	1	0
6523	5	1	1	0	28	9422	0	1	0
6563	5	1	1	0	28	9422	0	1	0
6573	5	1	1	0	28	9422	0	1	0
6613	5	1	1	0	28	9422	0	1	0
6623	5	1	1	0	28	9422	0	1	0
6663	5	1	1	0	28	9422	0	1	0
6673	5	1	1	0	28	9422	0	1	0
6713	5	1	1	0	28	9422	0	1	0
6723	5	1	1	0	28	9422	0	1	0
6763	5	1	1	0	28	9422	0	1	0
6773	5	1	1	0	28	9422	0	1	0
6813	5	1	1	0	28	9422	0	1	0
6823	5	1	1	0	28	9422	0	1	0
6863	5	1	1	0	28	9422	0	1	0
6873	5	1	1	0	28	9422	0	1	0
6913	5	1	1	0	28	9422	0	1	0
6923	5	1	1	0	28	9422	0	1	0
6963	5	1	1	0	28	9422	0	1	0
6973	5	1	1	0	28	9422	0	1	0
7013	5	1	1	0	28	9422	0	1	0
7023	5	1	1	0	28	9422	0	1	0
7063	5	1	1	0	28	9422	0	1	0
7073	5	1	1	0	28	9422	0	1	0
7113	5	1	1	0	28	9422	0	1	0
7123	5	1	1	0	28	9422	0	1	0
7163	5	1	1	0	28	9422	0	1	0
7173	5	1	1	0	28	9422	0	1	0
7213	5	1	1	0	28	9422	0	1	0
7223	5	1	1	0	28	9422	0	1	0
7263	5	1	1	0	28	9422	0	1	0
7273	5	1	1	0	28	9422	0	1	0
7313	5	1	1	0	28	9422	0	1	0
7323	5	1	1	0	28	9422	0	1	0
7363	5	1	1	0	28	9422	0	1	0
7373	5	1	1	0	28	9422	0	1	0
7413	5	1	1	0	28	9422	0	1	0
7423	5	1	1	0	28	9422	0	1	0
7463	5	1	1	0	28	9422	0	1	0
7473	5	1	1	0	28	9422	0	1	0
7513	5	1	1	0	28	9422	0	1	0
7523	5	1	1	0	28	9422	0	1	0
7563	5	1	1	0	28	9422	0	1	0
7573	5	1	1	0	28	9422	0	1	0
